Orientasi pada fasilitas kesehatan yang disediakan sekolah.,1
Menyesuaikan diri dengan keadaan sekolah.,1
Orientasi pada sarana dan kegiatan ibadah yang ada di sekolah.,1
Orientasi pada kegiatan sekolah yang bisa digunakan untuk mengisi waktu senggang.,1
Orientasi pada koperasi dan kantin sekolah.,1
Orientasi dengan teman dalam satu kelas.,2
Orientasi pada kegiatan solidaritas yang menjadi program sekolah.,2
Orientasi pada organisasi yang ada di sekolah.,2
Orientasi dengan semua guru dan karyawan di sekolah.,2
Orientasi dengan keanggotaan komite sekolah.,2
Orientasi pada struktur kurikulum yang berlaku saat ini.,3
Orientasi pada program yang diselenggarakan sekolah dalam meningkatkan kemampuan berbahasa asing.,3
Orientasi pada sarana multimedia yang ada di sekolah.,3
Orientasi pada  program sekolah berkaitan dengan kemampuan TIK siswa.,3
Orientasi pada semua fasilitas yang mendukung proses belajar di sekolah.,3
Orientasi pada kegiatan ekstrakurikuler yang menunjang belajar saya.,3
Orientasi tentang pekerjaan yang berkaitan dengan kesehatan yang mendukung cita-cita saya.,4
Orientasi tentang jenis pekerjaan jasa.,4
Orientasi tentang tentang sistem  belajar di perguruan tinggi.,4
Orientasi tentang syarat memasuki pada studi lanjut.,4
Informasi tentang kesehatan reproduksi remaja.,1
Informasi tentang obat-obatan terlarang dan dampaknya.,1
Informasi tentang  kultur sekolah.,2
Informasi tentang cara mengisi waktu luang.,1
Informasi tentang pekerjaan yang bisa dilakukan sambil belajar.,3
Informasi tentang tentang cara berkomunikasi yang baik.,2
Informasi tentang cara membina hubungan baik dengan teman lawan jenis.,2
"Informasi tentang persoalan seks, pacaran, dan perkawinan.",1
Informasi tentang bagaimana melepaskan diri dari lingkungan pertemanan yang kurang mendukung cita-cita.,2
Informasi tentang sikap yang harus dilakukan saat berbeda pendapat dengan orang tua.,1
Informasi tentang kesulitan menumbuhkan semangat belajar yang menurun.,3
Informasi tentang cara belajar yang efektif dan efisien.,3
Informasi tentang cara memanfaatkan TIK dalam belajar.,3
Informasi tentang cara mempersiapkan diri menghadapi tes / ujian.,3
Informasi tentang cara belajar kelompok.,3
Informasi tentang cara memilih kegiatan ekstra kurikuler yang cocok.,1
Informasi tentang berbagai jenis pekerjaan yang memiliki prospek bagus di masa depan.,4
Informasi tentang cara menyusun persyaratan melamar pekerjaan.,4
Informasi tentang pendidikan lanjutan yang dapat dimasuki setamat sekolah ini.,4
Informasi tentang strategi memasuki pendidikan lanjutan.,4
"Memiliki kelemahan pada  pendengaran / penglihatan,  untuk itu ingin pindah duduk di depan.",1
Kurang senang  dengan kondisi kelas.,2
Tidak mempunyai kawan akrab untuk bersama dalam beribadah.,2
Tidak mempunyai kawan akrab untuk bersama-sama mengisi waktu senggang.,2
"Bingung memilih antara melanjutkan atau tidak,  karena keadaan ekonomi keluarga yang sedang menurun.",4
Kurang senang dengan teman sebangku.,2
Tidak lincah dan kurang mengetahui tata krama pergaulan.,2
Bingung memilih di antara dua orang yang sama-sama disenangi.,2
Tidak betah dengan keadaan lingkungan rumah yang ramai.,2
Sulit memilih antara ikut ayah atau ibu yang sekarang sudah berpisah.,1
Kurang meminati pelajaran atau program jurusan yang dimasuki.,4
Sulit menentukan teknik belajar yang sesuai dengan diri saya.,3
Tidak nyaman belajar di rumah yang kondisinya sempit.,3
Kelompok belajar tidak cocok.,3
"Tidak tenang bila duduk di depan, untuk itu ingin pindah ke belakang.",4
Ingin mengikuti kegiatan pelatihan atau kursus tertentu yang benar-benar menunjang proses mencari dan melamar pekerjaan setamat pendidikan.,4
Bingung memilih lembaga kursus belajar yang sesuai.,1
Wajib mengikuti kegiatan ekstra kurikuler yang tidak saya sukai.,1
Pesimis masuk di sekolah karena masa depan tidak jelas.,4
Belum memiliki rencana yang pasti untuk pemilihan pendidikan lanjutan.,4
Menumbuhkan rasa percaya diri dengan bentuk tubuh yang saya miliki.,1
"Berlatih mengendalikan diri, berpikir dan bersikap positif.",1
Berlatih memiliki kemampuan untuk meningkatkan ibadah keagamaan.,1
Berlatih memiliki kemampuan untuk memanfaatkan waktu senggang.,1
Berlatih memiliki kemampuan untuk mengelola uang saku dengan baik.,1
Berlatih memiliki kemampuan untuk mematuhi tata tertib sekolah.,1
Berlatih memiliki kemampuan untuk  mendengarkan dan memahami pendapat orang lain.,2
Berlatih memiliki kemampuan untuk berbicara dengan lawan jenis.,2
Berlatih memiliki kemampuan untuk bisa melihat kebaikan orang lain dan menirunya.,2
Berlatih memiliki kemampuan untuk memelihara pakaian dan peralatan rumah tangga yang dimiliki.,1
Berlatih memiliki kemampuan untuk menyusun jadwal belajar di rumah dan di sekolah.,3
Berlatih memiliki kemampuan untuk memiliki  kepercayaan diri menghadapi ujian.,3
Berlatih memiliki kemampuan membuat laporan kegiatan / tugas pelajaran.,3
Berlatih memiliki kemampuan untuk menghilangkan rasa takut saat mengikuti pelajaran.,3
Berlatih memiliki kemampuan untuk  bertanya dan menjawab di dalam kelas.,3
Berlatih memiliki kemampuan untuk tertarik dan berminat pada sekolah lanjutan yang saya baca dari pamflet.,4
Berlatih memiliki kemampuan untuk menyalurkan bakat yang mengarah karier tertentu.,4
Berlatih memiliki kemampuan untuk menyalurkan hobi karena keterbatasan fisik.,4
Berlatih memiliki kemampuan untuk menghilangkan kebiasaan-kebiasaan kurang baik yang menghambat dalam menyalurkan bakat.,4
Berlatih memiliki kemampuan untuk mengirim pendaftaran pendidikan lanjutan secara online.,4
"Malu dan kurang terbuka dalam membicarakan masalah seks, pacar dan jodoh.",1
Masalah selalu khawatir tidak mendapatkan pacar atau jodoh yang baik/cocok.,1
Mengalami masalah setiap hendak pergi ke tempat peribadatan.,1
"Masalah bingung akan melakukan kegiatan apa, sepulang sekolah atau saat libur sekolah.",1
Mengalami kesulitan masalah keuangan keluarga.,1
"Merasa diperhatikan, dibicarakan atau diperolokkan orang lain.",1
Cinta yang tidak ditanggapi oleh orang yang saya cintai.,1
Bingung ingin memutus hubungan dengan pacar yang sekarang tidak ada kecocokan.,1
Minder dengan teman di kelas.,1
Orang tua tidak menghendaki saya sekolah di sekolah ini.,1
Takut bertanya / menjawab di kelas.,1
Setiap belajar sulit  masuk / memahami.,1
Tidak semangat belajar karena fasilitas belajar kurang memadai.,1
Merasa sebagai anak yang paling bodoh di kelas.,1
Orang tua kurang peduli terhadap kegiatan belajar saya.,1
Selalu khawatir akan pekerjaan yang dijabat nantinya tidak memberikan penghasilan yang mencukupi.,4
Bingung belum memiliki cita-cita.,4
Ragu pada tercapainya cita-cita karena orang tua tidak sejalan.,4
Pesimis untuk melanjutkan pendidikan karena biaya sekolah mahal.,4
Merasa tidak memiliki kemampuan kecerdasan yang cukup untuk melanjutkan pendidikan.,4
"Bahaya rokok, miras dan narkoba.",1
Perbedaan individu.,1
Penyebab dan dampak  tawuran.,1
Cara mengisi waktu luang dengan kegiatan positif.,1
Cara untuk memperoleh beasiswa untuk meringankan beban biaya sekolah,1
Toleransi dan solidaritas.,1
Hubungan muda-mudi yang wajar dan sehat.,1
Cara mengendalikan perasaan cinta dan pacaran.,1
Bagaimana sebaiknya kita berperan dalam lingkungan di sekitar rumah.,1
Dampak kebiasaan sehari-hari  di rumah terhadap cita-cita.,4
Kiat belajar mandiri.,1
Cara memanfaatkan secara maksimal buku-buku yang ada di perpustakaan.,3
Cara membuat suasana belajar di kelas menjadi nyaman.,3
Dampak menyontek pada saat ulangan bagi masa depan.,3
Kemampuan pendidikan sekarang ini dalam menyiapkan jabatan tertentu.,4
Cara  memilih pekerjaan.,4
Kiat menghindari banyaknya penipuan lowongan pekerjaan yang ada pada media.,4
Tata kerja pasar bursa dan persyaratannya.,4
Pengaruh pendidikan dengan keberhasilan dalam karier.,4
Kiat menghadapi semakin ketatnya persaingan dalam masuk pendidikan lanjutan.,4
Merasa secara jasmaniah kurang menarik.,1
Sering murung dan merasa tidak bahagia.,1
Dilanda ketakutan akibat pernah melanggar norma agama.,1
Kurang berminat atau tidak ada hal yang menarik dalam memanfaatkan waktu senggang yang ada.,1
Mengalami masalah karena ingin berpenghasilan sendiri.,1
Mudah tersinggung atau sakit hati dalam berhubungan dengan orang lain.,1
Kurang mendapat perhatian dari lawan jenis.,1
Pernyataan cinta saya ditolak secara terang-terangan.,1
Bermasalah karena di rumah ada anggota keluarga lain.,1
Ingin mengatasi kondisi keluarga yang sedang dilanda prahara.,1
Mengalami masalah  dalam pemahaman penggunaan bahasa / istilah asing.,1
Kesulitan membaca cepat atau memahami isi buku pelajaran.,3
Memiliki masalah dengan sarana belajar yang sering digunakan oleh anggota keluarga lain.,3
"Sering gelisah saat pelajaran berlangsung, sehingga  berusaha menghilangkannya dengan melakukan kegiatan lain.",3
Khawatir tugas-tugas pelajaran hasilnya kurang memuaskan.,3
Cemas kalau menjadi penganggur setelah menyelesaikan pendidikan.,4
Khawatir tidak mampu menamatkan sekolah dan harus segera bekerja.,4
Untuk memenuhi keuangan terpaksa sekolah sambil bekerja.,4
Tidak bersemangat untuk melanjutkan sekolah.,4
"Lulus sekolah ingin bekerja, tetapi orang tua menghendaki untuk melanjutkan pendidikan.",4
Memiliki teman yang selalu mengeluhkan dirinya memiliki tubuh terlalu gemuk / kurus.,2
Ingin membantu teman yang memiliki kebiasaan latah.,2
Ingin membatu teman yang belum mau melaksanakan ibadah sesuai dengan agamanya.,2
Memiliki sahabat yang tidak pernah memiliki waktu senggang untuk rekreasi.,2
Ingin membantu kawan yang karena terlalu berhemat menjadi sering sakit-sakitan.,2
"Memiliki kawan akrab yang merasa dirinya lebih hebat dari lainnya, sehingga sering konflik dengan lingkungan.",2
"Ingin membantu teman yang selalu minder bila bertemu lawan jenis,",2
Ingin membantu kawan akrab yang baru saja diputus oleh pacarnya.,2
Ingin membantu teman yang tidak betah di rumah.,2
Ada teman yang memiliki masalah dengan orang tuanya.,2
Ingin membantu teman yang sulit belajar karena memiliki cacat fisik.,2
Bingung memikirkan teman saya yang setiap kali diajar sulit memperhatikan dan cenderung mengganggu yang lain.,2
"Bingung pada teman yang tidak memiliki sarana belajar yang memadai, sehingga sering menggunakan peralatan saya.",2
Kesulitan menghadapi teman sebangku yang tidak memiliki motivasi belajar.,2
Saya memiliki teman yang setiap hari melemahkan semangat belajar saya.,2
Ingin membantu teman yang sampai sekarang masih bingung menyusun cita-cita masa depan.,2
Ingin membantu teman yang masih kesulitan dalam memilih jenis ekstra kurikuler yang harus diikuti.,2
Memiliki teman yang setiap hari mengeluhkan keadaan dirinya yang saat ini disuruh bekerja oleh orang tuanya.,2
Memiliki teman yang tidak berminat melanjutkan padahal menurut saya dia mampu.,2
Ingin membantu teman yang mengalami kesulitan memperoleh informasi tentang pendidikan lanjutan.,2
Saya memiliki masalah dengan salah seorang guru yang tidak mengetahui bahwa saya memiliki kelemahan fisik.,1
Dimusuhi / dibenci  guru tanpa tahu sebabnya.,1
Saya sedang punya masalah dengan salah seorang guru yang mengetahui di HP saya ada gambar tidak layak.,2
Saya punya masalah dengan teman sepermainan.,2
Saya memiliki masalah dengan orang tua berkaitan dengan keuangan.,1
Saya memiliki masalah dengan teman sekelas.,2
Saya sedang konflik dengan seseorang dari kakak / adik kelas.,2
Saya sedang bermasalah dengan pacar saya.,2
Saya memiliki masalah dengan tetangga.,2
Saya sedang didiamkan salah seorang anggota keluarga.,1
"Saya memiliki masalah dengan petugas perpustakaan, sehingga menjadikan berkunjung masuk ke sana.",2
Saya sedih karena memiliki masalah dengan salah seorang guru mata pelajaran.,2
Kurang semangat belajar karena orang tua tidak membelikan sarana belajar yang pernah dijanjikan.,3
"Guru pilih kasih, dan saya tidak diikutkan dalam olimpiade / kejuaraan.",3
"Saya sedang memiliki masalah dengan petugas laboratorium, berkaitan dengan peralatan sekolah.",2
Merasa disisihkan pembina ekstra kurikuler dalam berbagai kegiatan.,2
Orang tua memaksa untuk mengikuti pilihan karier  masa depan saya.,4
Saya memiliki masalah dengan teman berkaitan dengan pilihan ekstra kurikuler yang saya ambil.,2
Orang tua tidak setuju pada rencana pendidikan lanjutan pilihan saya.,4
Beda pendapat dengan saudara berkaitan dengan pilihan jurusan yang saya ambil.,4
